"","GEOID","in_nbh"
"1","08031004404","East Colfax"
"2","08031004403","East Colfax"
"3","08031003701","City Park"
"4","08031003702","Congress Park"
"5","08031003703","Congress Park"
"6","08031003800","Cherry Creek"
"7","08031003901","Belcaro"
"8","08031004102","Northeast Park Hill"
"9","08031004103","North Park Hill"
"10","08031004104","North Park Hill"
"11","08031004304","Montclair"
"12","08031004107","Stapleton"
"13","08031004106","Stapleton"
"14","08031015500","Virginia Village"
"15","08031004602","Mar Lee"
"16","08031004603","Harvey Park"
"17","08031004700","Harvey Park"
"18","08031005002","Washington Virginia Vale"
"19","08031980100","Stapleton"
"20","08031003202","Cheesman Park"
"21","08031003203","Country Club"
"22","08031003300","Congress Park"
"23","08031003401","Washington Park"
"24","08031004601","Mar Lee"
"25","08031003402","Washington Park"
"26","08031003602","Clayton"
"27","08031004801","Harvey Park South"
"28","08031001902","Auraria"
"29","08031005001","Washington Virginia Vale"
"30","08031008388","Gateway - Green Valley Ranch"
"31","08031000201","Chaffee Park"
"32","08031003003","University"
"33","08031004201","South Park Hill"
"34","08031000402","Highland"
"35","08031007006","Kennedy"
"36","08031012010","Marston"
"37","08031000303","West Highland"
"38","08031002703","Capitol Hill"
"39","08031003902","Cory - Merrill"
"40","08031004002","Wellshire"
"41","08031004003","University Hills"
"42","08031004004","Southmoor Park"
"43","08031004202","South Park Hill"
"44","08031004301","Hale"
"45","08031004302","Hale"
"46","08031004005","University Park"
"47","08031004006","University Park"
"48","08031004101","Northeast Park Hill"
"49","08031004303","Hilltop"
"50","08031000702","West Colfax"
"51","08031000800","Sun Valley"
"52","08031000902","Barnum West"
"53","08031000903","Barnum"
"54","08031000905","Villa Park"
"55","08031001000","Valverde"
"56","08031001101","Sunnyside"
"57","08031001102","Highland"
"58","08031003603","Skyland"
"59","08031015400","Regis"
"60","08031004405","Lowry Field"
"61","08031003201","Cheesman Park"
"62","08031001701","Union Station"
"63","08031001702","CBD"
"64","08031001800","Lincoln Park"
"65","08031002000","Civic Center"
"66","08031002402","Five Points"
"67","08031005104","Virginia Village"
"68","08031003500","Elyria Swansea"
"69","08031002701","Capitol Hill"
"70","08031005200","Virginia Village"
"71","08031006814","Hampden"
"72","08031001500","Globeville"
"73","08031002100","Baker"
"74","08031002403","Five Points"
"75","08031002601","North Capitol Hill"
"76","08031002602","North Capitol Hill"
"77","08031002702","Capitol Hill"
"78","08031002801","Speer"
"79","08031002802","Speer"
"80","08031002803","Speer"
"81","08031015300","Washington Virginia Vale"
"82","08031002901","Washington Park West"
"83","08031002902","Washington Park West"
"84","08031003001","Platt Park"
"85","08031003002","Rosedale"
"86","08031003004","University"
"87","08031003101","City Park West"
"88","08031003102","City Park West"
"89","08031015700","Harvey Park South"
"90","08031001901","Lincoln Park"
"91","08031004504","Westwood"
"92","08031004505","Westwood"
"93","08031004506","Westwood"
"94","08031008312","Montbello"
"95","08031008387","Montbello"
"96","08031004503","Westwood"
"97","08031004306","Hilltop"
"98","08031008386","Montbello"
"99","08031008389","Gateway - Green Valley Ranch"
"100","08031008391","Gateway - Green Valley Ranch"
"101","08031008390","Gateway - Green Valley Ranch"
"102","08031015600","College View - South Platte"
"103","08031006701","Southmoor Park"
"104","08031000102","Berkeley"
"105","08031000202","Sunnyside"
"106","08031000301","Berkeley"
"107","08031000302","West Highland"
"108","08031000401","Sunnyside"
"109","08031000501","Sloan Lake"
"110","08031000502","Sloan Lake"
"111","08031000600","Jefferson Park"
"112","08031000904","Villa Park"
"113","08031003601","Cole"
"114","08031006812","Hampden"
"115","08031001600","Five Points"
"116","08031000701","West Colfax"
"117","08031002300","Whittier"
"118","08031005102","Virginia Village"
"119","08031001301","Athmar Park"
"120","08031001302","Athmar Park"
"121","08031001401","Ruby Hill"
"122","08031001402","Ruby Hill"
"123","08031001403","Overland"
"124","08031005300","University Hills"
"125","08031005502","Fort Logan"
"126","08031005503","Fort Logan"
"127","08031006804","Hampden South"
"128","08031006809","Hampden South"
"129","08031006810","Hampden South"
"130","08031006811","Hampden"
"131","08031006813","Hampden"
"132","08031006901","Goldsmith"
"133","08031007013","Indian Creek"
"134","08031007037","Windsor"
"135","08031007088","Windsor"
"136","08031007089","Windsor"
"137","08031008304","Montbello"
"138","08031008305","Montbello"
"139","08031008306","Montbello"
"140","08031980000","DIA"
"141","08031011902","Bear Valley"
"142","08031011903","Bear Valley"
"143","08031012001","Fort Logan"
"144","08031012014","Marston"
